source,target,month,meal,program,value
NSLP1,NSLP2,February,lunch,NSLP,411898609
NSLP2,NSLP3,March,lunch,NSLP,205049520
NSLP2,SSO3,March,lunch,SSO,39145061
NSLP2,SFSP3,March,lunch,SFSP,29819431
NSLP3,NSLP4,April,lunch,NSLP,2061505
SSO3,SSO4,April,lunch,SSO,39145061
SFSP3,SFSP4,April,lunch,SFSP,29819431
NSLP3,SSO4,April,lunch,SSO,45308936
NSLP3,SFSP4,April,lunch,SFSP,67112765
