source,target,program,meal,value
February,March,NSLP,lunch,411898609
February,March,NSLP,snacks,14394127
February,March,SBP,breakfast,208880714
March,April,NSLP,lunch,205049520
March,April,NSLP,snacks,5925395
March,April,SBP,breakfast,100831011
March,April,SSO,lunch,39145061
March,April,SSO,snacks,316156
March,April,SSO,breakfast,37417352
March,April,SFSP,lunch,29819431
March,April,SFSP,breakfast,27672837
March,April,SFSP,supper,480202
March,April,SFSP,snacks,561233
