Month,NSLP,SBP,SSO,SFSP,ChildCareCenters,FamilyDayCareHomes
2020-01-01,442189794,212837973,0,0,141430672,35580182
2020-02-01,424433861,207900179,0,0,134357803,32745565
2020-03-01,209909169,100274282,72467392,58526396,70104624,18274110
2020-04-01,2467214,1925664,152900218,194209236,30119321,13129507
2020-05-01,2348191,1813186,150760246,199057623,41857890,13962623
2020-06-01,2144829,1679272,101391983,155680324,52617322,16961659
2020-07-01,2719239,2265032,54298953,175200447,45582352,17263724
2020-08-01,31871950,18859668,32655426,125938014,48573922,17338267
2020-09-01,51293270,29156182,97465385,195446595,68701317,17357733
