month,NSLP,SBP,SSO,SFSP,CACFP
Jan,442189794,212837973,0,0,177010854
Feb,424433861,207900179,0,0,167103368
Mar,209909169,100274282,72467392,58526396,175325391
Apr,2467214,1925664,152900218,194209236,85630827
May,2348191,1813186,150760246,199057623,110941327
Jun,2144829,1679272,101391983,155680324,138676080
Jul,2719239,2265032,54298953,175200447,125154016
Aug,31871950,18859668,32655426,125938014,130798141
Sep,51293270,29156182,97465385,195446595,170290692
