Month,NSLP,SBP,SSO,SFSP,CACFP
2020-01-01,442189794,212837973,0,0,177010854
2020-02-01,424433861,207900179,0,0,167103368
2020-03-01,209909169,100274282,72467392,58526396,88378734
2020-04-01,2467214,1925664,152900218,194209236,43248828
2020-05-01,2348191,1813186,150760246,199057623,55820513
2020-06-01,2144829,1679272,101391983,155680324,69578981
2020-07-01,2719239,2265032,54298953,175200447,62846076
2020-08-01,31871950,18859668,32655426,125938014,65912189
2020-09-01,51293270,29156182,97465385,195446595,86059050
